Geography,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
Wichita,Weekly,17/05/2020 0:00,Conventional,0.955770339,130698.91,42538.68,3446.09,109.97,31379.89,0,0,0,53224.28
Wichita,Weekly,24/05/2020 0:00,Conventional,0.902979413,147895.61,47600.44,3618.15,186.95,32936.73,0,0,0,63553.35
Wichita,Weekly,31/05/2020 0:00,Conventional,0.881630275,136126.91,41411.44,3706.29,74.24,32453.5,0,0,0,58481.44
Wichita,Weekly,7/06/2020 0:00,Conventional,0.817090682,152980.39,45656.24,3764.55,36.15,33806.78,0,0,0,69716.68
Wichita,Weekly,14/06/2020 0:00,Conventional,0.830025313,139984.15,40745.44,3406.43,53.68,31240.16,0,0,0,64538.44
Wichita,Weekly,21/06/2020 0:00,Conventional,0.892060009,133881.44,37442.6,3681.68,25.2,35212.5,0,0,0,57519.45
Wichita,Weekly,28/06/2020 0:00,Conventional,0.823498536,141339.82,42226.32,3312.23,31.77,32034.56,0,0,0,63734.95
Wichita,Weekly,5/07/2020 0:00,Conventional,0.808395709,153291.26,46505.81,3837.8,69.02,35425.39,0,0,0,67453.24
Wichita,Weekly,12/07/2020 0:00,Conventional,0.828078519,121398.78,35659.37,3723.01,54.78,30382.99,0,0,0,51578.63
Wichita,Weekly,19/07/2020 0:00,Conventional,0.825767725,121885.23,38565.96,2681.12,31.77,31955.33,0,0,0,48651.05
Wichita,Weekly,26/07/2020 0:00,Conventional,0.803940524,138314.03,44720.78,3502.41,81.08,29955.86,0,0,0,60053.91
Wichita,Weekly,2/08/2020 0:00,Conventional,0.791324177,136925.33,43807.35,3225.07,41.83,27255.57,0,0,0,62595.5
Wichita,Weekly,9/08/2020 0:00,Conventional,0.836883282,126540.21,39979.48,3433.5,59.17,28986.79,0,0,0,54081.27
Wichita,Weekly,16/08/2020 0:00,Conventional,0.843136903,118505.86,36757.28,3571.38,38.35,26720.54,0,0,0,51418.31
Wichita,Weekly,23/08/2020 0:00,Conventional,0.80898866,123665.11,39484.47,2873.91,12.05,25368.3,0,0,0,55926.37
Wichita,Weekly,30/08/2020 0:00,Conventional,0.779384193,133759.97,42061.85,2996.45,20.83,23905.9,0,0,0,64774.94
Wichita,Weekly,6/09/2020 0:00,Conventional,0.784246831,127216.9,40540.15,3083.62,19.66,26899.84,0,0,0,56673.63
Wichita,Weekly,13/09/2020 0:00,Conventional,0.824056307,108139.31,34242.36,2749.35,15.3,23892.19,0,0,0,47240.12
Wichita,Weekly,20/09/2020 0:00,Conventional,0.771696001,110701.22,36419.24,2982.4,20.32,23085.9,0,0,0,48193.36
Wichita,Weekly,27/09/2020 0:00,Conventional,0.786860498,108567.93,34729.51,3318.18,15.3,21842.53,0,0,0,48662.41
Wichita,Weekly,4/10/2020 0:00,Conventional,0.793110261,105132.28,36679.54,3240.79,1.09,22182.21,0,0,0,43028.65
Wichita,Weekly,11/10/2020 0:00,Conventional,0.73936369,113497.36,38778.17,2799.06,14.21,24054.91,0,0,0,47851.02
