Geography,Timeframe,Lat,Lng,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
Total U.S.,Weekly,#FIELD!,#FIELD!,25/07/2021 0:00,Organic,1.710694321,1678298.83,71097.8,244372.58,735.47,973445.35,842572.34,50322,18.9,388647.62
Total U.S.,Weekly,#FIELD!,#FIELD!,18/07/2021 0:00,Organic,1.738857319,1623763.3,67727.58,104569.88,184.06,1015849.52,866331.11,67542.89,53.55,435432.26
Total U.S.,Weekly,#FIELD!,#FIELD!,5/09/2021 0:00,Conventional,1.083413302,38829762.19,10205925.17,6533650.13,471960.61,11700433.82,9396944.36,956611.99,284873.59,9917792.46
Total U.S.,Weekly,#FIELD!,#FIELD!,29/08/2021 0:00,Conventional,1.0868604,38246240.9,9595056.92,7095884.62,543151.74,10438946.25,8285525.1,830853.35,366724.6,10573201.38
Total U.S.,Weekly,#FIELD!,#FIELD!,22/08/2021 0:00,Conventional,1.095702216,37586173.84,9333883.45,6801658.6,439257.56,11255574.86,8577826.58,1042710.51,530332.92,9755799.37
Total U.S.,Weekly,#FIELD!,#FIELD!,15/08/2021 0:00,Conventional,1.097656921,38588952.63,9452998.89,7462214.31,653482.65,10493649.4,8148200.74,874552.23,613212.87,10526607.37
Total U.S.,Weekly,#FIELD!,#FIELD!,5/09/2021 0:00,Organic,1.712430298,1793420.97,89474.5,111764.23,116,1105259.44,803571.49,181601.9,72.45,486806.8
Total U.S.,Weekly,#FIELD!,#FIELD!,29/08/2021 0:00,Organic,1.725045252,1731461.02,90078.65,115939.91,126.68,1083710.87,789452.29,188805.13,59.85,441604.91
Total U.S.,Weekly,#FIELD!,#FIELD!,22/08/2021 0:00,Organic,1.737436463,1670037.7,80381.16,113398.3,175.46,1079497.19,790334.63,199034.35,81.9,396585.59
Total U.S.,Weekly,#FIELD!,#FIELD!,15/08/2021 0:00,Organic,1.750234076,1620030.91,84202.5,110189.5,149.36,1021234.38,823527.63,109336.99,81.9,404255.17
Total U.S.,Weekly,#FIELD!,#FIELD!,3/10/2021 0:00,Conventional,1.182569342,34607548.2,10381726.91,4851001.41,404862.85,9248538.12,7592976.85,734168.05,132033.4,9721418.91
Total U.S.,Weekly,#FIELD!,#FIELD!,26/09/2021 0:00,Conventional,1.172117173,35054742.52,10309031.94,5458645.63,373738.17,9875295.41,7949310.8,817000.2,193643.61,9038031.37
Total U.S.,Weekly,#FIELD!,#FIELD!,19/09/2021 0:00,Conventional,1.165622608,35082018.52,10045334.95,5629906.37,498991.63,10023874.37,7841211.21,804219.57,207163.98,8883911.2
Total U.S.,Weekly,#FIELD!,#FIELD!,12/09/2021 0:00,Conventional,1.154406188,35701549.43,9743072.78,6142830.86,579992.58,10038358.83,7958919.25,844195.19,278018.99,9197294.38
Total U.S.,Weekly,#FIELD!,#FIELD!,3/10/2021 0:00,Organic,1.655151425,1701955.25,80574.43,108183.28,107.03,1029193.42,807982.46,117614.73,0,483897.09
Total U.S.,Weekly,#FIELD!,#FIELD!,26/09/2021 0:00,Organic,1.698747443,1632397.45,91942.44,110019.76,162.86,970329.49,752559.25,112807.82,28.35,459942.89
Total U.S.,Weekly,#FIELD!,#FIELD!,19/09/2021 0:00,Organic,1.773615866,1672017.05,99603.53,120916.46,333.44,1005562.38,772495.21,139626.94,103.95,445601.24
Total U.S.,Weekly,#FIELD!,#FIELD!,12/09/2021 0:00,Organic,1.718751713,1759415.5,85525.99,116905.75,168.68,1078869.52,821465.28,134194.42,176.4,477945.57
Total U.S.,Weekly,#FIELD!,#FIELD!,31/10/2021 0:00,Conventional,1.13843159,34337672.01,9963901.86,4559558.77,351039.94,9788637.7,8210933.36,773056,192263.07,9674533.74
Total U.S.,Weekly,#FIELD!,#FIELD!,24/10/2021 0:00,Conventional,1.159784692,34137969.68,10135904.26,4556780.49,404647.26,9224800.14,7449511.6,983372.79,146573.18,9815837.53
Total U.S.,Weekly,#FIELD!,#FIELD!,17/10/2021 0:00,Conventional,1.181452083,34280127.3,9965844.91,4532507.87,371873.32,10231562.93,8295351.27,1109354.64,118037.51,9178338.27
Total U.S.,Weekly,#FIELD!,#FIELD!,10/10/2021 0:00,Conventional,1.205846624,34796407.49,10146468.34,4968169.73,432131.54,9876232.89,7748491.05,1111145.77,121854.74,9373404.98
Total U.S.,Weekly,#FIELD!,#FIELD!,31/10/2021 0:00,Organic,1.570800003,1928661.59,88383.57,110513.86,109.68,1144378.57,1030464.44,20719.92,0,585275.91
Total U.S.,Weekly,#FIELD!,#FIELD!,24/10/2021 0:00,Organic,1.627742106,1770265.59,91416.78,103582.07,259.82,1103356.42,964836.01,42453.81,0,471650.5
Total U.S.,Weekly,#FIELD!,#FIELD!,17/10/2021 0:00,Organic,1.662926325,1704981.46,75657.56,112247.44,142.57,1051494.06,861646.58,88380,0,465439.83
Total U.S.,Weekly,#FIELD!,#FIELD!,10/10/2021 0:00,Organic,1.630560031,1729643.97,96627.24,104361.49,113.42,1123056.9,887209.16,131668.99,0,405484.92
Total U.S.,Weekly,#FIELD!,#FIELD!,28/11/2021 0:00,Conventional,1.195423763,28327220.13,8409873.92,3820985.6,307631.74,8009946.56,6630752.57,657209.4,231795.58,7778782.32
Total U.S.,Weekly,#FIELD!,#FIELD!,21/11/2021 0:00,Conventional,1.194843618,31435987.47,9131474.94,4275796.29,310482.07,9035572,7451023.64,734285.94,248216.63,8682662.17
Total U.S.,Weekly,#FIELD!,#FIELD!,14/11/2021 0:00,Conventional,1.15799975,33958713.39,9247958.8,4837842.94,326235.74,10289709.31,8729492.58,712274.31,230826.34,9256966.6
Total U.S.,Weekly,#FIELD!,#FIELD!,7/11/2021 0:00,Conventional,1.131408808,34392628.7,9375437.7,5102090.86,363677.83,10004971.42,8480390.28,726829.94,205684.16,9546450.9
Total U.S.,Weekly,#FIELD!,#FIELD!,28/11/2021 0:00,Organic,1.624899649,1540492.33,65280.17,85003.19,212.79,940298.46,859897.67,9932.5,0,449697.72
Total U.S.,Weekly,#FIELD!,#FIELD!,21/11/2021 0:00,Organic,1.605972827,1731782.52,78069.16,93460.51,378.83,1090665.49,988179.98,14051.9,0,469208.53
Total U.S.,Weekly,#FIELD!,#FIELD!,14/11/2021 0:00,Organic,1.589173323,1801489.18,75786.79,99321.77,257.68,1176735.94,1073107.14,18131.56,0,449387
Total U.S.,Weekly,#FIELD!,#FIELD!,7/11/2021 0:00,Organic,1.625219448,1804641.37,92602.74,111229.81,163.09,1106191.68,1002625.55,17776,0,494454.04
South Central,Weekly,#FIELD!,#FIELD!,4/01/2021 0:00,Conventional,0.6193928,6636434.6,2712266.15,1162292.76,163523.72,1491236.83,1279141.89,103213.95,101861.02,1107115.14
South Central,Weekly,#FIELD!,#FIELD!,4/01/2021 0:00,Organic,1.283569109,132420.25,15411.84,1023.95,1514.01,88955.23,86973.19,1982.04,0,25515.21
South Central,Weekly,#FIELD!,#FIELD!,10/01/2021 0:00,Conventional,0.640815095,6931739.6,2673986.48,867329.44,85120.61,2117367.08,1880138.65,92283.32,135051.49,1187935.99
South Central,Weekly,#FIELD!,#FIELD!,10/01/2021 0:00,Organic,1.195924349,209537.73,14618.84,6705.12,49464.05,100385.17,98416.42,1968.75,0,38364.55
South Central,Weekly,#FIELD!,#FIELD!,17/01/2021 0:00,Conventional,0.694374905,6459681.34,2791187.82,735173.22,112785.81,1745099.12,1496778.78,99687.66,140806.07,1075435.37
South Central,Weekly,#FIELD!,#FIELD!,17/01/2021 0:00,Organic,1.352525219,158593.98,12015.99,2021.4,10566.11,102102.44,101148.82,953.62,0,31888.03
South Central,Weekly,#FIELD!,#FIELD!,24/01/2021 0:00,Conventional,0.683369927,6581957.61,2645683.18,829796.64,84206.43,1712742.81,1478434.07,92880.38,132437.03,1309528.55
South Central,Weekly,#FIELD!,#FIELD!,24/01/2021 0:00,Organic,1.164968794,195200.82,18147.15,13042.17,2521.21,97776.26,95039.23,2737.03,0,63714.02
South Central,Weekly,#FIELD!,#FIELD!,31/01/2021 0:00,Conventional,0.701977139,6749012.07,2711449.01,849783.89,94375.28,1704978,1455251.22,98400.49,141982.04,1388425.9
South Central,Weekly,#FIELD!,#FIELD!,31/01/2021 0:00,Organic,1.319951479,157044.33,11270.55,9085.55,1871.85,101593.04,99993.97,1592.77,6.3,33223.33
South Central,Weekly,#FIELD!,#FIELD!,7/02/2021 0:00,Conventional,0.649054034,7989053.02,3237871.01,986577.55,199338.38,2033255.84,1737238.93,141699.6,142281.07,1532010.24
South Central,Weekly,#FIELD!,#FIELD!,7/02/2021 0:00,Organic,1.278772416,151241.85,9414.6,4796.09,1934.52,106102.37,103658.07,2434.86,9.45,28994.26
South Central,Weekly,#FIELD!,#FIELD!,14/02/2021 0:00,Conventional,0.692704241,7275889.21,3009068.53,884261.37,113170.54,1864070.69,1609026.93,78042.3,147335.16,1405318.09
South Central,Weekly,#FIELD!,#FIELD!,14/02/2021 0:00,Organic,1.315687247,203052.01,13287.36,11538.51,2439.67,109171.12,107797.69,1363.98,9.45,66615.35
South Central,Weekly,#FIELD!,#FIELD!,21/02/2021 0:00,Conventional,0.697496005,4874564.28,2123648.48,597619.73,54634.26,1270675.13,1125203.33,39378.02,98388.31,827986.68
South Central,Weekly,#FIELD!,#FIELD!,21/02/2021 0:00,Organic,1.269768843,175822.04,9159.21,13708.3,39971.87,67136.28,65569.15,1560.83,6.3,45846.39
South Central,Weekly,#FIELD!,#FIELD!,28/02/2021 0:00,Conventional,0.69478296,6652833.17,2637229.03,830311.81,107649.3,1691233.21,1469061.74,82639.33,132602.4,1386409.82
South Central,Weekly,#FIELD!,#FIELD!,28/02/2021 0:00,Organic,1.312122658,166174.93,10816.33,5410.79,9268.37,114627.27,112626.8,2000.47,0,26052.17
South Central,Weekly,#FIELD!,#FIELD!,7/03/2021 0:00,Conventional,0.699884046,6722150.24,2866197.97,847014.08,156463.7,1715801.69,1493159.63,71943.9,143980.79,1136672.8
South Central,Weekly,#FIELD!,#FIELD!,7/03/2021 0:00,Organic,1.185917906,197241.71,8840.03,5102.33,2064.52,151366.91,149534.17,1832.74,0,29867.93
South Central,Weekly,#FIELD!,#FIELD!,14/03/2021 0:00,Conventional,0.737287195,6546235.81,2852776.17,672303.84,109601.91,1814141.78,1610870.72,54166.35,140389.59,1097412.12
South Central,Weekly,#FIELD!,#FIELD!,14/03/2021 0:00,Organic,1.290919333,151506.77,10219.2,4613.13,1594.73,106671.45,104546.72,2118.43,6.3,28408.26
